Final seed:  1016249662

x, phi, theta
(2.1336953358570336, 6.154539503826982, 2.8544279035598596)
(1.474245286424236, 1.3259100902203211, 0.9545822652253781)
(0.3535610461499451, 2.1424972298453664, 1.2471539381354246)
(1.8689941921897684, 1.157530892008798, 0.8872501518212352)
(0.496305306557637, 4.94487953756372, 2.1821836715333656)
(0.2796433820108984, 4.697434177065051, 2.088907092417107)
(0.8668761772259316, 6.196403675441801, 2.9060015995359376)
(0.13309590987234746, 1.1594475926475194, 0.8880367886252412)
(0.6785562473066514, 1.686372296041978, 1.0891813754537536)
(0.829390833580259, 1.5189879845288539, 1.028048237297669)
(0.024451633222506295, 0.9413026277661871, 0.7948748960867421)
(1.039777572974511, 1.6898077909163576, 1.0904148900447959)
(0.42673284896340524, 1.9779474771807983, 1.1913569678117872)
(1.5269727216863478, 1.847337716546747, 1.146176782855883)
(1.5051165855268753, 0.7103473076563005, 0.6858366829840647)
(0.4047520471282192, 2.8637378863416214, 1.4822366934654974)
(0.5281468051318421, 6.071337982267417, 2.7722556824268483)
(1.2742317622234653, 4.932325124241948, 2.1773117347319153)
(2.86956520468685, 2.0464460927247448, 1.214723628186573)
(0.5294553168419411, 1.4938966821809838, 1.0186945174290796)
(0.40818834104765866, 3.0396934026989695, 1.5383550977692144)
(0.27314911137175496, 2.5331241525441537, 1.3758829636869725)
(1.5413572805797116, 3.693748172709161, 1.7474705658625795)
(0.5962656113776065, 3.90974897806, 1.8178124555097586)
(0.013182851256146759, 2.372614420780756, 1.323510377583853)
(1.823761988623012, 0.09078962497343887, 0.24099590143646527)
(0.9896303575927462, 5.68253479322631, 2.5129169524463126)
(1.0666621141290902, 0.3479916674450603, 0.475135351696596)
(1.9487270496200602, 3.2649587351224194, 1.6100750693898447)
(0.35688853947373306, 1.2684440216345219, 0.9319848282357273)
